carrera,semestre_actual,promedio_notas,asistencia_porcentaje,materias_reprobadas_acum,trabaja,horas_trabajo_semanal,actividad_canvas_semanal,tiene_beca,deuda_pendiente_usd,vive_fuera_de_quito,visitas_tutoria_semestre,participa_extracurricular,flag_cero_visitas_tutoria_semestre,flag_cero_asistencia_porcentaje,deserto_semestre
Software,3,8.81,51.5,0,0,0,10,0,93.06,0,1,0,0,0,0
Negocios_Digitales,4,7.41,48.5,1,0,0,17,0,1387.25,0,2,1,0,0,0
Negocios_Digitales,1,7.01,81.0,1,0,0,12,0,406.57,0,1,1,0,0,0
Diseño_Digital,1,7.18,88.8,0,1,14,10,0,206.93,0,3,1,0,0,0
Informática,2,6.95,64.5,1,1,42,11,0,22.64,0,0,1,1,0,1
Software,5,7.9,67.2,0,1,19,8,0,413.08,0,2,0,0,0,0
Diseño_Digital,5,8.22,74.3,0,0,0,17,0,1033.64,0,0,0,1,0,0
Informática,3,5.88,55.8,1,1,34,12,1,0.0,0,0,0,1,0,0
Ciberseguridad,6,7.28,62.3,1,0,0,11,0,63.09,1,2,0,0,0,1
Informática,5,6.0,67.2,1,1,33,8,0,1378.99,0,2,0,0,0,1
Negocios_Digitales,5,5.21,70.9,3,1,26,21,1,0.0,1,0,1,1,0,0
Informática,2,8.75,73.9,1,0,0,12,1,0.0,0,1,0,0,0,0
Software,2,4.57,62.5,0,1,28,9,0,70.74,0,1,0,0,0,0
Informática,4,7.07,54.8,1,0,0,10,1,0.0,0,0,0,1,0,0
Software,2,5.7,44.6,0,1,44,17,0,456.85,0,1,0,0,0,0
Software,4,9.29,66.2,0,0,0,13,0,79.87,0,1,1,0,0,0
Ciberseguridad,6,6.75,85.1,0,0,0,9,0,339.15,0,3,1,0,0,0
Negocios_Digitales,2,6.32,63.4,2,0,0,10,0,1235.25,0,2,0,0,0,0
Informática,5,5.27,89.5,1,1,16,15,0,237.54,0,0,1,1,0,0
Informática,3,7.2,43.8,0,0,0,6,1,0.0,1,2,0,0,0,0
Negocios_Digitales,1,4.53,81.2,0,1,34,10,1,0.0,0,1,0,0,0,0
Diseño_Digital,4,7.1,84.0,0,1,46,7,0,563.91,0,0,0,1,0,0
Ciberseguridad,3,6.68,73.5,0,1,27,13,0,1570.57,1,0,0,1,0,0
Negocios_Digitales,7,7.67,69.3,0,1,45,17,0,1343.03,1,0,0,1,0,0
Software,3,10.0,59.2,0,0,0,15,0,215.96,1,1,0,0,0,1
Negocios_Digitales,1,6.27,51.7,0,1,39,7,1,0.0,0,0,0,1,0,1
Software,6,8.85,83.2,1,1,47,12,0,508.66,0,0,0,1,0,0
Informática,3,5.93,64.5,0,0,0,14,0,1807.35,0,1,1,0,0,0
Ciberseguridad,2,7.01,74.0,0,0,0,19,0,995.53,0,0,1,1,0,0
Software,3,8.53,42.9,1,1,28,8,0,126.56,1,1,1,0,0,0
Diseño_Digital,3,7.84,69.8,2,0,0,13,0,1086.84,0,1,0,0,0,0
Informática,8,7.48,83.0,0,1,30,8,1,0.0,0,0,0,1,0,0
Informática,5,5.01,32.8,0,1,33,11,0,1668.68,0,0,0,1,0,1
Software,6,5.55,34.7,1,1,16,12,1,0.0,0,0,0,1,0,0
Software,8,6.68,53.8,3,1,37,13,0,1261.87,0,2,0,0,0,0
Software,7,6.87,78.8,0,1,26,10,0,1190.73,0,1,0,0,0,0
Software,8,8.27,74.3,0,0,0,8,1,0.0,1,2,1,0,0,0
Software,6,5.9,74.2,1,0,0,19,0,1983.46,0,0,1,1,0,0
Ciberseguridad,5,5.38,57.8,0,0,0,11,0,1447.34,0,1,0,0,0,1
Diseño_Digital,6,7.4,55.7,0,0,0,13,1,0.0,1,2,0,0,0,0
Negocios_Digitales,3,6.28,73.6,1,1,34,12,0,478.94,0,2,0,0,0,1
Negocios_Digitales,6,6.84,69.6,0,0,0,7,0,1926.79,0,0,1,1,0,1
Software,3,7.92,80.8,0,0,0,11,1,0.0,0,2,0,0,0,0
Negocios_Digitales,8,4.8,69.6,1,1,14,9,0,433.06,0,1,0,0,0,0
Informática,8,7.66,76.0,0,0,0,13,0,1499.4,0,0,0,1,0,0
Informática,3,6.78,76.6,0,1,21,19,0,734.39,1,2,1,0,0,0
Ciberseguridad,4,6.48,94.3,3,0,0,11,0,1052.53,0,0,0,1,0,0
Negocios_Digitales,3,9.72,49.9,0,0,0,9,1,0.0,1,0,0,1,0,0
Informática,4,6.47,62.0,0,0,0,12,1,0.0,0,2,0,0,0,0
Software,6,3.95,85.9,0,1,22,13,0,1026.01,0,2,1,0,0,1
Negocios_Digitales,3,9.32,38.7,1,1,12,11,0,1895.16,0,2,0,0,0,0
Ciberseguridad,8,4.77,88.8,0,0,0,14,0,1704.16,1,1,0,0,0,0
Ciberseguridad,3,6.63,58.0,1,0,0,9,0,1934.16,0,1,0,0,0,0
Software,5,7.12,84.3,0,0,0,15,1,0.0,0,0,0,1,0,0
Software,8,5.92,74.1,0,1,39,15,1,0.0,1,2,0,0,0,0
Diseño_Digital,1,6.61,51.4,0,0,0,9,0,1738.74,1,0,0,1,0,1
Ciberseguridad,5,4.52,72.4,0,1,39,13,0,1990.1067999999998,1,0,0,1,0,1
Software,6,6.75,50.8,0,0,0,10,0,1004.97,0,2,1,0,0,0
Ciberseguridad,8,6.02,91.2,1,1,25,20,0,1306.88,0,1,1,0,0,1
Negocios_Digitales,8,6.84,85.7,1,0,0,10,0,338.72,0,3,0,0,0,0
Ciberseguridad,7,6.83,91.9,0,0,0,11,0,442.53,1,0,0,1,0,0
Ciberseguridad,1,7.97,84.8,1,1,34,9,0,1183.83,0,2,0,0,0,0
Software,2,4.87,64.6,1,1,15,9,0,1332.63,1,0,0,1,0,0
Informática,2,6.9,71.8,0,1,28,17,0,895.52,0,3,1,0,0,0
Software,6,6.66,77.6,0,1,28,11,0,147.83,0,2,1,0,0,0
Informática,5,5.99,87.4,0,1,19,8,0,525.64,0,1,0,0,0,0
Informática,3,6.68,61.3,0,0,0,10,0,1176.15,0,3,1,0,0,0
Software,7,5.99,79.3,1,1,34,5,0,595.55,1,2,0,0,0,1
Diseño_Digital,3,8.09,62.9,0,1,43,21,0,1865.14,0,1,1,0,0,0
Software,8,5.61,81.2,1,0,0,15,1,0.0,0,2,0,0,0,0
Informática,6,7.61,83.7,0,0,0,17,1,0.0,0,1,1,0,0,0
Diseño_Digital,2,8.41,85.1,0,1,45,17,1,0.0,1,2,0,0,0,0
Software,2,6.79,50.8,0,0,0,11,0,1277.26,0,2,0,0,0,0
Negocios_Digitales,8,7.88,81.3,0,1,42,12,1,0.0,0,4,0,0,0,0
Negocios_Digitales,8,5.35,62.1,0,1,12,11,0,768.52,0,2,0,0,0,1
Negocios_Digitales,3,8.48,78.2,0,0,0,13,1,0.0,0,2,1,0,0,0
Negocios_Digitales,3,8.58,68.2,1,1,30,12,0,329.54,0,1,0,0,0,0
Diseño_Digital,5,7.16,77.6,2,1,30,13,0,1124.9,0,2,1,0,0,0
Negocios_Digitales,7,5.52,55.7,1,1,25,14,0,1042.89,0,2,1,0,0,1
Software,1,6.08,55.3,0,0,0,8,0,281.23,0,3,1,0,0,0
Diseño_Digital,2,4.35,62.6,0,1,24,9,0,238.34,0,1,0,0,0,0
Informática,6,7.78,60.4,0,1,41,15,1,0.0,1,2,0,0,0,0
Informática,5,5.5,82.7,1,1,11,15,1,0.0,1,1,0,0,0,0
Informática,6,5.99,66.9,0,0,0,6,0,1688.36,0,0,0,1,0,0
Diseño_Digital,4,7.14,60.5,1,1,17,8,1,0.0,0,1,1,0,0,0
Ciberseguridad,5,6.75,69.1,0,0,0,10,0,89.35,0,2,0,0,0,0
Informática,6,9.24,93.4,2,1,20,13,1,0.0,0,0,0,1,0,0
Diseño_Digital,6,6.67,52.5,0,1,47,17,1,0.0,0,0,1,1,0,0
Informática,4,7.14,64.6,2,0,0,13,0,1178.06,0,0,1,1,0,0
Negocios_Digitales,2,7.58,50.0,1,0,0,5,0,1217.64,0,1,0,0,0,0
Software,4,6.19,60.0,2,0,0,11,0,1363.62,0,2,1,0,0,1
Diseño_Digital,8,6.51,56.9,1,0,0,13,1,0.0,0,1,1,0,0,0
Negocios_Digitales,4,6.56,48.2,0,0,0,6,0,1255.48,1,0,1,1,0,0
Diseño_Digital,4,6.75,73.7,2,0,0,9,0,1599.55,0,0,1,1,0,0
Software,3,10.0,53.8,0,1,35,10,0,1161.66,1,2,0,0,0,1
Ciberseguridad,3,4.76,64.4,0,1,26,15,0,1014.19,0,0,0,1,0,1
Informática,6,5.46,91.8,1,0,0,7,0,797.55,0,1,0,0,0,0
Negocios_Digitales,3,6.71,79.7,0,0,0,12,0,357.53,0,1,1,0,0,0
Negocios_Digitales,7,6.22,77.9,1,1,28,13,0,1409.28,0,0,0,1,0,0
Diseño_Digital,7,7.49,94.0,1,1,24,8,1,0.0,1,1,0,0,0,0
Software,2,9.53,88.3,1,0,0,8,1,0.0,0,1,0,0,0,0
Software,3,8.15,73.3,2,0,0,12,0,928.93,0,0,1,1,0,0
Software,3,5.62,79.7,4,1,25,14,0,923.54,0,0,0,1,0,0
Informática,2,7.52,59.9,1,0,0,5,0,1771.22,0,0,0,1,0,1
Ciberseguridad,2,6.83,58.4,0,0,0,5,0,909.6,1,1,1,0,0,0
Informática,6,8.3,82.6,2,1,34,10,1,0.0,0,0,1,1,0,1
Negocios_Digitales,6,9.94,64.6,0,1,18,9,0,636.71,0,0,1,1,0,1
Ciberseguridad,3,7.42,41.7,1,1,21,12,0,891.07,0,1,1,0,0,0
Software,3,8.53,39.2,3,0,0,11,1,0.0,0,1,0,0,0,1
Diseño_Digital,6,8.26,77.8,0,1,11,12,0,1848.48,0,4,0,0,0,0
Ciberseguridad,3,8.13,84.6,1,0,0,13,0,1622.43,0,1,0,0,0,0
Informática,4,6.61,79.0,0,1,44,17,1,0.0,0,1,1,0,0,0
Informática,6,7.76,66.3,0,1,26,19,1,0.0,1,0,1,1,0,0
Software,8,7.11,77.0,4,1,30,5,0,1867.95,0,1,0,0,0,0
Informática,5,6.58,93.0,0,1,28,10,0,114.16,0,2,0,0,0,0
Informática,7,7.49,77.9,1,1,33,11,1,0.0,0,4,1,0,0,0
Negocios_Digitales,8,7.03,67.9,0,0,0,8,0,268.49,0,3,0,0,0,0
Ciberseguridad,4,10.0,47.7,0,0,0,7,1,0.0,1,2,0,0,0,1
Software,4,5.24,81.9,0,0,0,16,0,713.77,0,0,0,1,0,0
Informática,2,5.49,88.5,0,1,35,15,0,1980.41,0,0,0,1,0,1
Software,6,7.51,85.7,0,0,0,17,1,0.0,1,1,1,0,0,0
Diseño_Digital,3,8.08,65.5,0,1,44,11,0,666.61,0,1,0,0,0,1
Negocios_Digitales,7,4.8,59.1,2,1,23,17,0,1866.39,0,3,0,0,0,0
Informática,2,5.29,66.7,1,0,0,7,0,552.06,0,1,0,0,0,0
Diseño_Digital,1,6.03,91.6,0,0,0,14,1,0.0,0,1,1,0,0,0
Software,1,7.15,67.7,0,0,0,20,1,0.0,0,1,0,0,0,0
Negocios_Digitales,8,7.82,98.6,0,1,26,17,1,0.0,0,1,0,0,0,0
Informática,8,6.18,60.6,0,0,0,7,0,473.2,0,0,1,1,0,0
Diseño_Digital,3,7.79,68.5,2,1,28,11,1,0.0,1,0,1,1,0,0
Negocios_Digitales,8,7.99,53.0,2,0,0,14,0,66.76,0,1,1,0,0,0
Ciberseguridad,2,7.81,62.4,1,0,0,8,0,686.34,0,1,1,0,0,1
Negocios_Digitales,8,5.16,60.4,2,0,0,9,0,1385.3,0,0,1,1,0,1
Software,2,6.05,73.3,0,1,37,13,0,1063.07,0,2,1,0,0,0
Negocios_Digitales,4,7.04,85.4,1,0,0,13,0,713.51,1,3,1,0,0,0
Software,3,6.14,91.7,3,0,0,12,0,1817.29,0,2,1,0,0,1
Diseño_Digital,3,6.78,62.4,2,1,24,13,0,1870.93,1,1,1,0,0,1
Ciberseguridad,8,8.98,70.4,1,1,16,9,0,385.35,0,1,0,0,0,0
Software,1,5.46,71.3,2,1,42,7,0,1416.56,1,0,0,1,0,1
Informática,6,7.91,69.2,0,0,0,8,0,502.8,0,0,0,1,0,0
Diseño_Digital,4,8.48,88.2,1,1,47,12,0,1836.33,1,3,0,0,0,0
Software,6,4.99,75.5,2,0,0,9,0,602.92,0,2,0,0,0,1
Informática,4,3.99,77.4,1,1,43,12,0,1520.08,0,1,0,0,0,1
Negocios_Digitales,8,6.11,69.4,1,1,18,12,0,1676.31,0,1,0,0,0,0
Informática,1,6.82,76.0,0,1,12,17,0,963.71,0,0,0,1,0,0
Informática,8,7.37,51.0,0,1,11,10,0,1492.14,0,1,0,0,0,1
Software,7,6.92,73.7,0,0,0,7,0,663.97,0,1,1,0,0,1
Negocios_Digitales,4,7.62,85.7,0,1,22,11,1,0.0,1,3,0,0,0,0
Negocios_Digitales,5,7.64,77.8,0,0,0,8,0,465.37,0,0,0,1,0,0
Informática,5,5.33,75.5,3,1,31,9,0,188.97,0,2,0,0,0,1
Software,3,6.53,63.0,1,1,27,21,0,1158.65,0,0,1,1,0,0
Software,8,6.04,72.4,2,1,29,19,0,1635.01,0,1,0,0,0,1
Software,5,5.27,34.5,1,1,46,5,0,789.0,0,1,1,0,0,1
Negocios_Digitales,2,8.37,74.3,1,1,45,12,0,1596.66,1,0,0,1,0,0
Software,4,6.61,83.2,1,0,0,11,1,0.0,0,2,0,0,0,0
Software,3,6.07,84.8,0,1,16,8,0,1974.65,0,2,1,0,0,0
Software,8,5.88,77.3,0,0,0,7,0,1070.7,1,2,1,0,0,1
Negocios_Digitales,3,5.23,43.6,0,0,0,11,0,621.71,0,0,1,1,0,1
Informática,1,5.43,65.5,1,0,0,9,0,1528.33,0,2,1,0,0,1
Software,8,6.34,68.9,2,0,0,15,0,1358.94,1,1,0,0,0,1
Informática,8,7.93,72.4,1,0,0,10,0,606.73,0,1,0,0,0,0
Negocios_Digitales,8,9.03,83.2,0,0,0,9,1,0.0,1,0,0,1,0,0
Informática,8,5.13,73.4,1,0,0,11,0,1135.68,1,1,1,0,0,1
Informática,8,6.95,49.4,1,0,0,13,1,0.0,0,1,0,0,0,0
Ciberseguridad,7,6.37,60.2,0,1,12,10,0,1972.1,1,0,1,1,0,1
Diseño_Digital,7,4.98,81.1,2,1,21,14,1,0.0,0,2,0,0,0,1
Informática,2,6.86,61.2,0,1,19,13,1,0.0,0,0,1,1,0,0
Ciberseguridad,6,6.49,70.4,1,1,11,17,0,1990.1067999999998,0,1,0,0,0,0
Ciberseguridad,6,7.17,46.2,0,0,0,16,1,0.0,0,1,1,0,0,0
Negocios_Digitales,5,7.63,59.1,0,0,0,8,0,1976.61,0,1,0,0,0,0
Informática,8,6.66,57.7,1,0,0,11,0,1554.74,0,0,1,1,0,0
Ciberseguridad,2,5.15,67.9,0,1,30,11,0,1548.78,0,3,1,0,0,0
Informática,4,6.66,78.6,0,1,37,16,0,1226.64,0,2,0,0,0,0
Informática,8,6.82,52.2,0,0,0,13,0,1402.17,0,1,0,0,0,0
Informática,6,9.78,76.8,0,0,0,13,0,342.49,0,1,0,0,0,0
Software,8,7.82,42.7,0,1,11,12,0,1715.33,0,2,0,0,0,0
Informática,1,7.37,26.2,0,1,16,12,1,0.0,0,2,0,0,0,0
Informática,5,6.74,87.5,2,0,0,12,0,1975.0,0,2,1,0,0,0
Software,3,8.78,78.7,0,1,26,18,0,37.12,1,3,0,0,0,0
Software,7,6.4,84.0,0,0,0,20,0,1427.6,1,0,0,1,0,0
Informática,6,6.36,79.4,1,0,0,9,1,0.0,0,1,0,0,0,0
Software,8,5.32,68.9,0,1,35,12,1,0.0,1,2,1,0,0,1
Informática,6,6.07,64.7,0,0,0,8,0,1495.45,0,1,0,0,0,1
Informática,5,6.66,73.4,1,0,0,13,0,840.27,1,1,1,0,0,0
Negocios_Digitales,4,8.21,83.0,0,0,0,17,0,550.26,1,0,0,1,0,0
Informática,7,7.68,91.8,0,0,0,13,0,1098.63,0,1,1,0,0,0
Negocios_Digitales,1,5.65,71.8,0,0,0,9,1,0.0,0,3,1,0,0,0
Diseño_Digital,2,6.27,62.6,0,1,22,14,0,983.76,0,0,1,1,0,0
Negocios_Digitales,7,3.5,58.0,0,1,18,9,1,0.0,0,1,0,0,0,0
Diseño_Digital,6,7.12,82.3,1,0,0,6,0,427.6,0,0,1,1,0,0
Informática,6,6.39,68.0,0,0,0,10,0,135.68,0,2,0,0,0,0
Software,5,6.73,88.3,1,1,11,9,1,0.0,1,0,1,1,0,0
Negocios_Digitales,1,5.91,48.4,0,0,0,11,0,1069.04,1,0,1,1,0,0
